"","name","year","rating","synopsis"
"29","Lawrence of Arabia","(1962)","8.3","
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
"30","North by Northwest","(1959)","8.3","
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
"31","Inside Out","(I) (2015)","8.2","
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
"32","Demon Slayer the Movie: Mugen Train","(2020)","8.2","
After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
"33","Howl's Moving Castle","(2004)","8.2","
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
"34","Finding Nemo","(2003)","8.2","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
"35","Jurassic Park","(1993)","8.2","
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
"36","Indiana Jones and the Last Crusade","(1989)","8.2","
In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
"37","Monty Python and the Holy Grail","(1975)","8.2","
King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
"38","Dersu Uzala","(1975)","8.2","
The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter."
"39","The Great Escape","(1963)","8.2","
Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II."
"40","The Bridge on the River Kwai","(1957)","8.2","
British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
"41","The Wages of Fear","(1953)","8.2","
In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
"42","The Treasure of the Sierra Madre","(1948)","8.2","
Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
"43","The General","(1926)","8.2","
After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
"44","The Gold Rush","(1925)","8.2","
A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
"45","Everything Everywhere All at Once","(2022)","8.1","
An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led."
"46","Klaus","(2019)","8.1","
A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
"47","Bajrangi Bhaijaan","(2015)","8.1","
An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family."
"48","Queen","(2013)","8.1","
A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled."
"49","The Grand Budapest Hotel","(2014)","8.1","
A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
"50","Mad Max: Fury Road","(2015)","8.1","
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
